ind,Region,Site,Exp,y,Year,Clim
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1966,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1967,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1968,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1969,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1970,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1971,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1972,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,2.67,1973,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.98,1974,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,2.62,1975,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.76,1976,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.138,1977,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.737,1978,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.41,1979,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.528,1980,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.385,1981,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.902,1982,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.905,1983,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.452,1984,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,2.776,1985,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.217,1986,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.205,1987,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.662,1988,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.922,1989,6.272892857
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.588,1990,7.109777778
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.67,1991,6.229225806
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.018,1992,7.016451613
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.862,1993,4.93816129
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.867,1994,7.210580645
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.028,1995,6.034548387
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.224,1996,6.399129032
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.958,1997,6.667903226
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.065,1998,5.691
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.464,1999,7.450419355
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.147,2000,7.767709677
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.984,2001,7.738903226
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.027,2002,7.364451613
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.734,2003,5.54516129
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.859,2003,7.552806452
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.761,2004,4.439483871
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.54,2005,5.408688865
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.276,2006,6.623645161
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.48,2007,7.770870968
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.376,2008,6.938225806
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.837,2009,9.6628125
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.872,2010,7.654590909
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.426,2011,9.679633333
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.041,2012,8.673354839
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.987,2013,6.183354839
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.116,2014,7.359870968
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.496,2015,7.339032258
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.687,2016,8.19616129
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.262,2017,6.638870968
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.217,2018,5.176846154
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,NA,1966,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,NA,1967,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.337,1968,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.365,1969,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.783,1970,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.473,1971,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.5,1972,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.111,1973,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.887,1974,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.315,1975,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.734,1976,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.349,1977,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.778,1978,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,2.798,1979,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.386,1980,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.551,1981,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.151,1982,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.951,1983,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.575,1984,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.47,1985,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.088,1986,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.421,1987,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.089,1988,NA
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.1,1989,6.272892857
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.986,1990,7.109777778
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.371,1991,6.229225806
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.098,1992,7.016451613
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,3.991,1993,4.93816129
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.038,1994,7.210580645
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.51,1995,6.034548387
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.374,1996,6.399129032
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.708,1997,6.667903226
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,4.515,1998,5.691
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,5.003,1999,7.450419355
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,5.034,2000,7.767709677
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,5.465,2001,7.738903226
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,5.018,2002,7.364451613
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,5.279,2003,5.54516129
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,5.356,2003,7.552806452
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,5.573,2004,4.439483871
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,6.045,2005,5.408688865
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,5.616,2006,6.623645161
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,6.106,2007,7.770870968
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,6.395,2008,6.938225806
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,6.632,2009,9.6628125
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,7.044,2010,7.654590909
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,6.613,2011,9.679633333
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,7.337,2012,8.673354839
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,7.424,2013,6.183354839
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,7.076,2014,7.359870968
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,7.815,2015,7.339032258
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,7.869,2016,8.19616129
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,6.851,2017,6.638870968
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,7.203,2018,5.176846154
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,NA,1966,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,NA,1967,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.337,1968,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.365,1969,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.783,1970,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.473,1971,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.5,1972,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.111,1973,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.887,1974,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.315,1975,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.734,1976,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.349,1977,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.778,1978,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,2.798,1979,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.386,1980,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.551,1981,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.151,1982,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.951,1983,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.575,1984,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.47,1985,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.088,1986,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.421,1987,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.089,1988,NA
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.1,1989,6.272892857
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.986,1990,7.109777778
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.371,1991,6.229225806
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.098,1992,7.016451613
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,3.991,1993,4.93816129
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.038,1994,7.210580645
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.51,1995,6.034548387
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.374,1996,6.399129032
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.708,1997,6.667903226
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,4.515,1998,5.691
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,5.003,1999,7.450419355
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,5.034,2000,7.767709677
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,5.465,2001,7.738903226
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,5.018,2002,7.364451613
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,5.279,2003,5.54516129
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,5.356,2003,7.552806452
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,5.573,2004,4.439483871
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,6.045,2005,5.408688865
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,5.616,2006,6.623645161
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,6.106,2007,7.770870968
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,6.395,2008,6.938225806
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,6.632,2009,9.6628125
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,7.044,2010,7.654590909
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,6.613,2011,9.679633333
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,7.337,2012,8.673354839
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,7.424,2013,6.183354839
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,7.076,2014,7.359870968
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,7.815,2015,7.339032258
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,7.869,2016,8.19616129
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,6.851,2017,6.638870968
DryasT,Alexandra Fiord - Ellesmere,Dryas,T,7.203,2018,5.176846154
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,NA,1966,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,NA,1967,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,NA,1968,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,NA,1969,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,NA,1970,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,NA,1971,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,NA,1972,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,2.67,1973,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.98,1974,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,2.62,1975,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.76,1976,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.138,1977,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.737,1978,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.41,1979,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.528,1980,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.385,1981,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.902,1982,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.905,1983,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.452,1984,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,2.776,1985,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.217,1986,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.205,1987,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.662,1988,NA
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.922,1989,6.272892857
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.588,1990,7.109777778
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.67,1991,6.229225806
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.018,1992,7.016451613
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.862,1993,4.93816129
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.867,1994,7.210580645
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.028,1995,6.034548387
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.224,1996,6.399129032
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,3.958,1997,6.667903226
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.065,1998,5.691
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.464,1999,7.450419355
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.147,2000,7.767709677
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.984,2001,7.738903226
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,5.027,2002,7.364451613
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.734,2003,5.54516129
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.859,2003,7.552806452
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,4.761,2004,4.439483871
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,5.54,2005,5.408688865
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,5.276,2006,6.623645161
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,5.48,2007,7.770870968
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,5.376,2008,6.938225806
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,5.837,2009,9.6628125
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,5.872,2010,7.654590909
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,6.426,2011,9.679633333
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,6.041,2012,8.673354839
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,5.987,2013,6.183354839
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,6.116,2014,7.359870968
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,6.496,2015,7.339032258
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,6.687,2016,8.19616129
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,6.262,2017,6.638870968
DryasC,Alexandra Fiord - Ellesmere,Dryas,C,6.217,2018,5.176846154
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1966,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1967,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1968,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1969,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1970,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1971,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1972,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1973,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1974,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1975,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1976,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1977,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1978,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1979,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1980,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1981,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1982,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1983,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1984,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1985,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,NA,1986,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.263,1987,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,2.552,1988,NA
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.358,1989,6.272892857
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,2.738,1990,7.109777778
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.544,1991,6.229225806
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.862,1992,7.016451613
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.606,1993,4.93816129
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.286,1994,7.210580645
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.307,1995,6.034548387
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.793,1996,6.399129032
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.659,1997,6.667903226
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,3.994,1998,5.691
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,4.109,1999,7.450419355
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,4.388,2000,7.767709677
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,4.083,2001,7.738903226
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,4.645,2002,7.364451613
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,4.097,2003,5.54516129
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,4.345,2003,7.552806452
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,4.488,2004,4.439483871
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,4.9,2005,5.408688865
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.182,2006,6.623645161
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.567,2007,7.770870968
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.957,2008,6.938225806
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.935,2009,9.6628125
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.618,2010,7.654590909
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.95,2011,9.679633333
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.969,2012,8.673354839
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.864,2013,6.183354839
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,5.846,2014,7.359870968
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,6.553,2015,7.339032258
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,6.903,2016,8.19616129
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,6.608,2017,6.638870968
FertC,Alexandra Fiord - Ellesmere,Vaccinium,C,6.273,2018,5.176846154
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1966,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1967,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1968,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1969,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1970,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1971,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1972,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1973,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1974,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1975,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1976,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1977,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1978,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,NA,1979,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,4.202,1980,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.082,1981,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,5.497,1982,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.575,1983,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,4.321,1984,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.863,1985,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.507,1986,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.731,1987,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,2.934,1988,NA
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.928,1989,6.272892857
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,2.824,1990,7.109777778
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,4.251,1991,6.229225806
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.038,1992,7.016451613
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,4.22,1993,4.93816129
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.482,1994,7.210580645
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,4.6,1995,6.034548387
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,4.12,1996,6.399129032
FertT,Alexandra Fiord - Ellesmere,Vaccinium,T,3.266,1997,6.667903226
